step,time,omega,kinetic,potential,entropy,gradient_norm,max_density,min_density,is_stable,gradient_energy,entropy_interaction,M_baryon,M_halo,M_total,Halo_Ratio,V_virial
1767,1.767999999999916,0.0444677577007341,4065999044.182358,0.0,0.0,0.0,0.07768361115150238,1e-12,True,0.027775193578310067,0.016692564122424036,25.676412502985222,81319954.98961216,81319980.66602467,3167107.358825558,9017.759194148353
1768,1.768999999999916,0.048703634525990074,4427317086.648146,0.0,0.0,0.0,0.10328896141178619,1e-12,True,0.032223236714603434,0.01648039781138664,24.899705096254355,88546316.05655041,88546340.95625551,3556119.066900686,9409.906574082599
1769,1.7699999999999159,0.04411281902342783,6273757763.122079,0.0,0.0,0.0,0.12521396312111033,1e-12,True,0.031183400965980587,0.012929418057447241,22.757281279865936,125475130.36273646,125475153.12001774,5513625.674971752,11201.569321413923
1770,1.7709999999999158,0.034728656796895865,5818825363.984068,0.0,0.0,0.0,0.07331350152946162,1e-12,True,0.025904777091751256,0.008823879705144602,21.081203944733744,116376484.52240007,116376505.603604,5520390.809840416,10787.794365841488
1771,1.7719999999999156,0.034126285056823025,3584789678.966202,0.0,0.0,0.0,0.1159527373237693,1e-12,True,0.0251030313702098,0.009023253686613232,20.49844903043926,71695772.4981201,71695792.99656913,3497619.3754053065,8467.336864641919
1772,1.7729999999999155,0.031176067263068163,3282407478.5259767,0.0,0.0,0.0,0.05014866612472559,1e-12,True,0.023382921723410242,0.0077931455396579195,20.571752677682074,65648129.0720705,65648149.64382318,3191178.2188641517,8102.354569538384
1773,1.7739999999999154,0.03336231766527414,2632846129.2563887,0.0,0.0,0.0,0.054013195966676524,1e-12,True,0.02429831955033101,0.009063998114943132,21.152688296780646,52656902.013375096,52656923.16606339,2489371.6236956934,7256.508980572392
1774,1.7749999999999153,0.03286817876503997,2990815372.8714724,0.0,0.0,0.0,0.08031029495533926,1e-12,True,0.02414983299059296,0.008718345774447005,21.606763728894947,59816286.304741144,59816307.91150487,2768405.6276313053,7734.10030045056
1775,1.7759999999999152,0.03332910738166872,2952334691.981286,0.0,0.0,0.0,0.061177056120240596,1e-12,True,0.024582980183459148,0.008746127198209578,22.529163949862234,59046672.232861996,59046694.762025945,2620899.397849256,7684.184656788625
1776,1.776999999999915,0.0364437032294083,3111795144.763558,0.0,0.0,0.0,0.09319942954048134,1e-12,True,0.026337679579345692,0.01010602365006261,23.706862769320715,62235880.3661072,62235904.07296997,2625226.3308337047,7888.973500733233
1777,1.777999999999915,0.03553804916404154,3847493237.6787596,0.0,0.0,0.0,0.05329659773398993,1e-12,True,0.024168916532065522,0.011369132631976017,24.151493782547533,76949841.04671244,76949865.19820623,3186131.7455706266,8772.107201441122
1778,1.7789999999999149,0.038470355319275035,2924761060.6800814,0.0,0.0,0.0,0.08566837798619795,1e-12,True,0.025584706408044493,0.012885648911230538,25.459410289764183,58495197.06210784,58495222.521518126,2297586.48743439,7648.216864969352
1779,1.7799999999999148,0.04210579602287977,3527718381.8689404,0.0,0.0,0.0,0.062411524007254186,1e-12,True,0.02764478557829,0.014461010444589764,26.10638043072438,70554342.17796853,70554368.28434896,2702570.8279433157,8399.66473362948
1780,1.7809999999999147,0.046610725319093785,4339752888.78715,0.0,0.0,0.0,0.09606260485671249,1e-12,True,0.030943203684797915,0.01566752163429587,25.092133298374133,86795031.66936257,86795056.76149587,3459053.506284676,9316.38651923282
1781,1.7819999999999145,0.043515239839705816,5706261537.998848,0.0,0.0,0.0,0.10660509410875821,1e-12,True,0.028675102856647625,0.014840136983058194,22.840876372163045,114125205.66784365,114125228.50872003,4996533.574426916,10682.94111001165
1782,1.7829999999999144,0.039821140288678655,4726336254.697618,0.0,0.0,0.0,0.11905186563547142,1e-12,True,0.029096820904531688,0.010724319384146967,22.172265550382882,94526702.25307596,94526724.4253415,4263285.68156538,9722.485540948484
1783,1.7839999999999143,0.04210820629943983,4926596685.68548,0.0,0.0,0.0,0.19279647547142564,1e-12,True,0.030520173953997483,0.011588032345442353,21.711306234359967,98531911.54144403,98531933.25275026,4538276.530822947,9926.325287522548
1784,1.7849999999999142,0.035579102501916725,5462516872.847453,0.0,0.0,0.0,0.14472140428866145,1e-12,True,0.025546233290762697,0.010032869211154033,20.940533793976407,109250315.74564284,109250336.68617663,5217169.572432379,10452.288622926037
1785,1.785999999999914,0.034669400171405726,3442664953.868739,0.0,0.0,0.0,0.07508024781090629,1e-12,True,0.024082192111270252,0.010587208060135479,21.24279182000486,68853278.136841,68853299.37963282,3241253.7258289615,8297.78880650591
1786,1.786999999999914,0.034928664308075175,2836310154.632827,0.0,0.0,0.0,0.04394550646757208,1e-12,True,0.023416291454109325,0.011512372853965846,21.23561327488961,56726181.84986473,56726203.085478,2671275.8945497577,7531.679964832318
1787,1.7879999999999139,0.0333098535288372,2578209825.1420813,0.0,0.0,0.0,0.042903548544630195,1e-12,True,0.02352577931246791,0.00978407421636928,21.91173881419452,51564175.267228365,51564197.17896718,2353267.1552050263,7180.82143649608
1788,1.7889999999999138,0.03498229293506666,2586298345.936265,0.0,0.0,0.0,0.046989537496543395,1e-12,True,0.024097874652351192,0.010884418282715469,23.11410561285248,51725945.006986484,51725968.121092096,2237851.8931741267,7192.076676365826
1789,1.7899999999999137,0.035963038035587994,2836472224.608753,0.0,0.0,0.0,0.0658872648293462,1e-12,True,0.024983903044568247,0.01097913499101975,23.99441981345144,56729421.37806946,56729445.37248927,2364275.603109281,7531.8951461219285
1790,1.7909999999999136,0.03657626862971358,3147775641.5295606,0.0,0.0,0.0,0.07162946143512808,1e-12,True,0.02485735959680501,0.011718909032908573,24.826952246702696,62955488.83617139,62955513.66312364,2535771.938820917,7934.451010031583
1791,1.7919999999999134,0.03907910352297948,3117410158.4283614,0.0,0.0,0.0,0.10343635227305283,1e-12,True,0.026540096930422738,0.012539006592556745,25.94476549271625,62348178.34161498,62348204.28638047,2403112.0403349004,7896.087839466278
1792,1.7929999999999133,0.04552726815286803,3794066906.4155726,0.0,0.0,0.0,0.07932452911706492,1e-12,True,0.028546349831343867,0.01698091832152416,26.203493598120723,75881312.18354595,75881338.38703954,2895847.1471182834,8710.989503398076
1793,1.7939999999999132,0.049651592988666615,4629972001.542381,0.0,0.0,0.0,0.12448013136483199,1e-12,True,0.03316529992281533,0.016486293065851275,24.64890016516769,92599413.82735404,92599438.47625421,3756736.130338712,9622.860283244667
1794,1.794999999999913,0.03986461037996458,6508820774.009417,0.0,0.0,0.0,0.1347886498059014,1e-12,True,0.028244309059034328,0.011620301320930249,21.89319590060189,130176390.83128814,130176412.72448404,5945974.786703633,11409.48795872051
1795,1.795999999999913,0.03414516984960435,4499208537.749088,0.0,0.0,0.0,0.05037287220815538,1e-12,True,0.024520632509230686,0.009624537340373659,21.351409072022918,89984148.86178587,89984170.21319495,4214436.08494575,9485.998669353785
1796,1.796999999999913,0.03418794221513632,2959632003.328334,0.0,0.0,0.0,0.07464507847995609,1e-12,True,0.025505203695341552,0.008682738519794765,22.007223344825825,59192618.7151576,59192640.72238094,2689690.461399568,7693.675328902739
1797,1.7979999999999128,0.0366158614601553,3371815646.913314,0.0,0.0,0.0,0.10157096354162297,1e-12,True,0.02742391969624406,0.009191941763911242,22.87850521408268,67436290.93104294,67436313.80954815,2947582.9079334033,8211.961576765096
