Price,Close,High,Low,Open,Volume
Ticker,^DJI,^DJI,^DJI,^DJI,^DJI
Date,,,,,
2013-10-28,15568.9296875,15599.08984375,15533.48046875,15569.1904296875,92760000
2013-10-29,15680.349609375,15683.080078125,15572.2099609375,15572.2099609375,86600000
2013-10-30,15618.759765625,15721.0,15574.51953125,15680.740234375,79170000
2013-10-31,15545.75,15651.8603515625,15544.6904296875,15619.919921875,114050000
2013-11-01,15615.5498046875,15649.400390625,15543.25,15558.009765625,101830000
2013-11-04,15639.1201171875,15658.900390625,15588.48046875,15621.2001953125,71200000
2013-11-05,15618.2197265625,15651.8896484375,15522.1796875,15631.2197265625,91890000
2013-11-06,15746.8798828125,15750.2900390625,15628.7197265625,15628.7197265625,109200000
2013-11-07,15593.98046875,15797.6796875,15586.330078125,15751.3095703125,103860000
2013-11-08,15761.7802734375,15764.2900390625,15579.349609375,15591.5400390625,101200000
2013-11-11,15783.099609375,15791.4501953125,15737.2197265625,15759.2802734375,58860000
2013-11-12,15750.669921875,15793.3798828125,15708.2900390625,15773.150390625,79260000
2013-11-13,15821.6298828125,15822.98046875,15672.0,15739.5,92450000
2013-11-14,15876.2197265625,15884.990234375,15798.740234375,15806.2197265625,123860000
2013-11-15,15961.7001953125,15962.98046875,15875.900390625,15876.16015625,126460000
2013-11-18,15976.01953125,16030.2802734375,15942.169921875,15962.7197265625,94860000
2013-11-19,15967.0302734375,16025.849609375,15943.7802734375,15974.0595703125,84570000
2013-11-20,15900.8203125,16016.849609375,15865.3701171875,15971.2001953125,84350000
2013-11-21,16009.990234375,16016.0400390625,15908.0703125,15908.0703125,79000000
2013-11-22,16064.76953125,16068.7802734375,15976.26953125,16008.7099609375,81000000
2013-11-25,16072.5400390625,16109.6298828125,16055.4599609375,16072.08984375,94040000
2013-11-26,16072.7998046875,16120.25,16070.9296875,16070.9296875,107450000
2013-11-27,16097.330078125,16107.990234375,16057.33984375,16073.3701171875,65730000
2013-11-29,16086.41015625,16174.509765625,16074.1396484375,16105.16015625,69190000
2013-12-02,16008.76953125,16098.0,15986.23046875,16087.1201171875,92590000
2013-12-03,15914.6201171875,16004.7197265625,15859.6796875,16004.7197265625,103910000
2013-12-04,15889.76953125,15960.3603515625,15791.2900390625,15910.509765625,111180000
2013-12-05,15821.509765625,15896.1904296875,15809.3701171875,15886.5,128080000
2013-12-06,16020.2001953125,16022.349609375,15825.5498046875,15825.5498046875,98260000
2013-12-09,16025.5302734375,16058.400390625,16015.2900390625,16019.490234375,91810000
2013-12-10,15973.1298828125,16029.0595703125,15969.5302734375,16024.1201171875,79420000
2013-12-11,15843.5302734375,15997.2197265625,15827.7001953125,15970.75,107170000
2013-12-12,15739.4296875,15845.1103515625,15703.7900390625,15844.8203125,105870000
2013-12-13,15755.3603515625,15792.7998046875,15717.919921875,15745.66015625,83180000
2013-12-16,15884.5703125,15930.3095703125,15759.599609375,15759.599609375,101470000
2013-12-17,15875.259765625,15917.9599609375,15836.4501953125,15884.0595703125,101490000
2013-12-18,16167.9697265625,16173.0400390625,15808.919921875,15876.5703125,129620000
2013-12-19,16179.080078125,16194.7197265625,16121.5400390625,16162.509765625,94980000
2013-12-20,16221.1396484375,16287.83984375,16178.5703125,16178.5703125,285190000
